sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
FY-T2;soil temperature;;Fu Yuanfeike Co Ltd;;FY-T2;;
FY-Y2;precipitation;;Fu Yuanfeike Co Ltd;;FY-Y2;;
smart Irrigation Control Sensor;soil moisture, soil temperature, air temperature;https://www.gardena.com/at/produkte/bewasserung/sprinklersystems/smart-irrigation-control-sensor-set/970658401/;Gardena;;Gardena-smartICS;;
T200;precipitation;https://geonor.com/live/wp-content/uploads/2014/10/T-200B-US-Manual.-rev-10.10-20150128.pdf;Geonor;vibrating wire;Geonor-T200;;
GPS;;;;;GPS;;
GS1;soil moisture;https://library.metergroup.com/Manuals/14640_GS1_Web.pdf;METER Group (former Decagon);wie Teros10?;Meter-GS1;dielectric constant;FDR-Capacitance
GS3;soil moisture, soil EC, soil temperature;https://library.metergroup.com/Manuals/20429_GS3_Web.pdf;METER Group (former Decagon);wie Teros12?;Meter-GS3;dielectric constant;FDR-Capacitance
HC2S3;air temperatur, humidity;https://s.campbellsci.com/documents/us/manuals/hc2s3.pdf;Campbell Scientific;;Campbell-HC2S3;;
HC-S3;air temperatur, humidity;https://s.campbellsci.com/documents/ca/manuals/hc-s3_man.pdf;Campbell Scientific;;Campbell-HC-S3;;
HMP155;air temperatur, humidity;https://s.campbellsci.com/documents/eu/manuals/hmp155a%20-%20868.pdf;Campbell Scientific / Vaisala;;Campbell-HMP155;;
HMP35C;air temperatur, humidity;https://s.campbellsci.com/documents/us/manuals/hmp35c.pdf;Campbell Scientific / Vaisala;;Campbell-HMP35C;;
HMP45C;air temperatur, humidity;https://s.campbellsci.com/documents/us/manuals/hmp45c.pdf;Campbell Scientific / Vaisala;;Campbell-HMP45C;;
HMP60;air temperatur, humidity;https://s.campbellsci.com/documents/eu/manuals/hmp60%20-%20896.pdf;Campbell Scientific;;Campbell-HMP60;;
